date,desc,ref,debit,credit,balance,flagged,category
2025-01-02,PETROL PUMP HP,818325381793,0.0,0.0,89137.54,False,Uncategorized
2025-01-04,LIC PREMIUM,640155778817,14522.8,0.0,74614.74,False,Uncategorized
2025-01-06,APOLLO PHARMACY,951371162411,37168.25,0.0,37446.49,False,Uncategorized
2025-01-06,GROWW MUTUAL FUND,380468275670,0.0,31414.13,68860.62,False,Uncategorized
2025-01-07,ZERODHA SECURITIES,856955798877,0.0,1138.34,69998.96,False,Uncategorized
2025-01-08,URBAN CLAP SERVICES,437540254729,40437.94,0.0,29561.02,False,Uncategorized
2025-01-08,ZERODHA SECURITIES,223105927452,12943.31,0.0,16617.71,False,Uncategorized
2025-01-08,UBER TRIP,257828410672,1705.81,0.0,14911.9,False,Transport
2025-01-09,PVR CINEMAS,854749297517,7148.99,0.0,7762.91,False,Uncategorized
2025-01-09,OLA CABS,937515093983,0.0,24860.56,32623.47,False,Transport
2025-01-10,INDIAN OIL FUEL,186375998056,0.0,3898.99,36522.46,False,Uncategorized
2025-01-10,AMAZON RETAIL,455478137674,19329.68,0.0,17192.78,False,Shopping / Groceries
2025-01-10,BIGBASKET,991234785196,2681.35,0.0,14511.43,False,Shopping / Groceries
2025-01-10,RELIANCE FRESH,879232648704,0.0,28800.45,43311.88,False,Uncategorized
2025-01-11,AMAZON RETAIL,024471462730,25233.76,0.0,18078.12,False,Shopping / Groceries
2025-01-11,UBER TRIP,979647158904,5290.68,0.0,12787.44,False,Transport
2025-01-11,CAFE COFFEE DAY,252045650448,6704.25,0.0,6083.19,False,Uncategorized
2025-01-13,ZOMATO ONLINE,928554451895,1469.76,0.0,4613.43,False,Food & Dining
2025-01-13,STAR HEALTH INSURANCE,652132833898,0.0,23389.96,28003.39,False,Uncategorized
2025-01-14,PHONEPE MERCHANT,112075452798,7018.91,0.0,20984.48,False,Uncategorized
2025-01-15,ZOMATO ONLINE,322342321611,0.0,13815.09,34799.57,False,Food & Dining
2025-01-15,SNEHA VERMA,890714014011,34116.43,0.0,683.14,False,Uncategorized
2025-01-16,UBER TRIP,012495528938,0.0,40567.69,41250.83,False,Transport
2025-01-17,LIC PREMIUM,334280138759,0.0,36908.45,78159.28,False,Uncategorized
2025-01-17,UBER TRIP,663836151718,43104.99,0.0,35054.29,False,Transport
2025-01-17,STARBUCKS INDIA,015716479473,16352.08,0.0,18702.21,False,Uncategorized
2025-01-18,PAYTM WALLET,752071678112,2936.07,0.0,15766.14,False,Uncategorized
2025-01-19,RELIANCE FRESH,153539613674,1189.25,0.0,14576.89,False,Uncategorized
2025-01-21,OLA CABS,579678427114,3484.98,0.0,11091.91,False,Transport
2025-01-22,PRIYA GUPTA,702695249911,927.86,0.0,10164.05,False,Uncategorized
2025-01-24,INDIAN OIL FUEL,778485880061,2522.54,0.0,7641.51,False,Uncategorized
2025-01-25,ANJALI PILLAI,427624671978,1227.52,0.0,6413.99,False,Uncategorized
2025-01-27,FLIPKART INTERNET,647969545009,1222.27,0.0,5191.72,False,Shopping / Groceries
2025-01-27,MYNTRA DESIGNS,056165565033,0.0,16583.49,21775.21,False,Uncategorized
2025-01-27,POOJA SINGH,520850769864,6044.74,0.0,15730.47,False,Uncategorized
2025-01-27,OLA CABS,591713578529,4663.16,0.0,11067.31,False,Transport
2025-01-28,URBAN CLAP SERVICES,183440496391,1928.35,0.0,9138.96,False,Uncategorized
2025-01-30,SWIGGY BANGALORE,987635148468,4398.8,0.0,4740.16,False,Food & Dining
2025-01-31,APOLLO PHARMACY,820829737489,0.0,18193.2,22933.36,False,Uncategorized
2025-02-01,APOLLO PHARMACY,232466513644,1489.99,0.0,21443.37,False,Uncategorized
2025-02-03,BESCOM ELECTRICITY,123034778660,0.0,30955.44,52398.81,False,Utilities
2025-02-03,URBAN CLAP SERVICES,482070015941,0.0,6268.91,58667.72,False,Uncategorized
2025-02-04,OLA CABS,231981898471,30274.49,0.0,28393.23,False,Transport
2025-02-04,STARBUCKS INDIA,636321234764,3644.34,0.0,24748.89,False,Uncategorized
2025-02-05,ZOMATO ONLINE,586734257540,0.0,24076.13,48825.02,False,Food & Dining
2025-02-07,INDIAN OIL FUEL,034864518376,27320.79,0.0,21504.23,False,Uncategorized
2025-02-07,AIRTEL PREPAID,413432756041,17774.95,0.0,3729.28,False,Mobile & Recharge
2025-02-08,PAYTM WALLET,124815698570,970.7,0.0,2758.58,False,Uncategorized
2025-02-08,AMAZON RETAIL,634591123829,443.72,0.0,2314.86,False,Shopping / Groceries
