date,desc,ref,debit,credit,balance,flagged,category
2025-01-02,JIO RECHARGE - UPI/NEFT,505415667652,0.0,0.0,116658.16,False,Mobile & Recharge
2025-01-03,AIRTEL PREPAID - UPI/NEFT,161692845115,16625.51,0.0,100032.65,False,Mobile & Recharge
2025-01-05,RELIANCE FRESH - UPI/NEFT,757059640165,20149.32,0.0,79883.33,False,Uncategorized
2025-01-06,BIGBASKET - UPI/NEFT,970213556909,30621.57,0.0,49261.76,False,Shopping / Groceries
2025-01-06,DECATHLON SPORTS - UPI/NEFT,192856543102,42704.74,0.0,6557.02,False,Uncategorized
2025-01-07,CAFE COFFEE DAY - UPI/NEFT,739473121727,520.89,0.0,6036.13,False,Uncategorized
2025-01-07,CAFE COFFEE DAY - UPI/NEFT,188442258313,1790.58,0.0,4245.55,False,Uncategorized
2025-01-07,MYNTRA DESIGNS - UPI/NEFT,578291146786,0.0,22306.88,26552.43,False,Uncategorized
2025-01-08,PETROL PUMP HP - UPI/NEFT,177852892268,3457.72,0.0,23094.71,False,Uncategorized
2025-01-08,PHONEPE MERCHANT - UPI/NEFT,358414384249,2910.65,0.0,20184.06,False,Uncategorized
2025-01-09,MYNTRA DESIGNS - UPI/NEFT,229959001094,0.0,28898.29,49082.35,False,Uncategorized
2025-01-11,AMAZON RETAIL - UPI/NEFT,784473647102,0.0,25810.35,74892.7,False,Shopping / Groceries
2025-01-12,BIGBASKET - UPI/NEFT,555625881537,20980.23,0.0,53912.47,False,Shopping / Groceries
2025-01-12,POOJA MALHOTRA - UPI/NEFT,963259532787,0.0,11269.16,65181.63,False,Uncategorized
2025-01-13,SURESH RAO - UPI/NEFT,733950047974,22457.06,0.0,42724.57,False,Uncategorized
2025-01-14,KARAN CHOPRA - UPI/NEFT,650609835841,0.0,4971.24,47695.81,False,Uncategorized
2025-01-15,NYKAA ECOMM - UPI/NEFT,912165585239,34433.52,0.0,13262.29,False,Uncategorized
2025-01-16,RAKESH JOSHI - UPI/NEFT,787298259526,1955.43,0.0,11306.86,False,Uncategorized
2025-01-17,PVR CINEMAS - UPI/NEFT,794705516940,1516.17,0.0,9790.69,False,Uncategorized
2025-01-18,MYNTRA DESIGNS - UPI/NEFT,309728962309,2405.83,0.0,7384.86,False,Uncategorized
2025-01-20,BIGBASKET - UPI/NEFT,636897028385,0.0,999.34,8384.2,False,Shopping / Groceries
2025-01-22,PVR CINEMAS - UPI/NEFT,585497334843,2424.47,0.0,5959.73,False,Uncategorized
2025-01-23,STAR HEALTH INSURANCE - UPI/NEFT,584419866524,1326.4,0.0,4633.33,False,Uncategorized
2025-01-23,AIRTEL PREPAID - UPI/NEFT,733848421993,632.87,0.0,4000.46,False,Mobile & Recharge
2025-01-23,BESCOM ELECTRICITY - UPI/NEFT,016571208267,0.0,40747.51,44747.97,False,Utilities
2025-01-24,JIO RECHARGE - UPI/NEFT,019380262067,34052.61,0.0,10695.36,False,Mobile & Recharge
2025-01-24,AMAZON RETAIL - UPI/NEFT,499154788728,3010.85,0.0,7684.51,False,Shopping / Groceries
2025-01-25,STARBUCKS INDIA - UPI/NEFT,742054932966,0.0,36425.3,44109.81,False,Uncategorized
2025-01-26,VIKRAM AGARWAL - UPI/NEFT,530463745499,18127.37,0.0,25982.44,False,Uncategorized
2025-01-26,INDIAN OIL FUEL - UPI/NEFT,174268414593,0.0,16275.91,42258.35,False,Uncategorized
2025-01-26,NYKAA ECOMM - UPI/NEFT,568783391878,21596.46,0.0,20661.89,False,Uncategorized
2025-01-28,PAYTM WALLET - UPI/NEFT,839822587139,1612.71,0.0,19049.18,False,Uncategorized
2025-01-29,APOLLO PHARMACY - UPI/NEFT,286790874064,0.0,23040.33,42089.51,False,Uncategorized
2025-01-29,DIVYA GUPTA - UPI/NEFT,801704622656,26087.26,0.0,16002.25,False,Uncategorized
2025-01-30,INDIAN OIL FUEL - UPI/NEFT,825128682300,2302.91,0.0,13699.34,False,Uncategorized
2025-01-31,BESCOM ELECTRICITY - UPI/NEFT,375243106903,2137.54,0.0,11561.8,False,Utilities
2025-01-31,INDIAN OIL FUEL - UPI/NEFT,030673830284,0.0,26788.4,38350.2,False,Uncategorized
2025-01-31,NYKAA ECOMM - UPI/NEFT,534283644089,32958.56,0.0,5391.64,False,Uncategorized
2025-02-02,UBER TRIP - UPI/NEFT,685662462873,845.41,0.0,4546.23,False,Transport
2025-02-02,PVR CINEMAS - UPI/NEFT,668826343517,1143.12,0.0,3403.11,False,Uncategorized
2025-02-03,AIRTEL PREPAID - UPI/NEFT,699013983735,0.0,32647.62,36050.73,False,Mobile & Recharge
2025-02-04,STARBUCKS INDIA - UPI/NEFT,173936385467,837.72,0.0,35213.01,False,Uncategorized
2025-02-05,PAYTM WALLET - UPI/NEFT,771753556093,13982.74,0.0,21230.27,False,Uncategorized
