date,desc,ref,debit,credit,balance,category
2025-12-01,BROUGHT FORWARD BALANCE,,0.0,0.0,75000.0,Uncategorized
2025-12-01,POS/VISA/FLIPKART,345864938384,1058.15,0.0,73941.85,Shopping / Groceries
2025-12-01,UPI/DR/7635954/Rahul/Neha@icici,198912225902,671.54,0.0,73270.31,UPI - Sent
2025-12-02,UPI/DR/9880223/Amit/Suresh@ybl,990253050256,2610.51,0.0,70659.8,UPI - Sent
2025-12-03,UPI/DR/2047109/Anjali/Anjali@sbi,472646369774,324.59,0.0,70335.21,UPI - Sent
2025-12-04,POS/VISA/JIO RECHARGE,235447068293,4392.46,0.0,65942.75,Mobile & Recharge
2025-12-05,UPI/DR/7329134/Neha/Priya@okhdfcbank,781304820142,2658.65,0.0,63284.1,UPI - Sent
2025-12-05,BIL/INB/ELECTRICITY UPPCL/406575,357076632102,2666.21,0.0,60617.89,Utilities
2025-12-06,NEFT/CR/HDFC802729/FUNDS TRANSFER,504425519849,0.0,12105.41,72723.3,Bank Transfer - Credit
2025-12-08,BIL/INB/ELECTRICITY UPPCL/684850,180092702123,2022.83,0.0,70700.47,Utilities
2025-12-08,UPI/CR/8525625/Anjali/Payment,804054194082,0.0,3596.73,74297.2,UPI - Received
2025-12-08,NEFT/CR/HDFC169403/FUNDS TRANSFER,447055029070,0.0,13023.3,87320.5,Bank Transfer - Credit
2025-12-09,IMPS/DR/80830258/Kavita/Transfer,333279765207,10176.14,0.0,77144.36,Bank Transfer - Credit
2025-12-09,UPI/DR/7431585/Suresh/Suresh@ybl,717380026649,1626.15,0.0,75518.21,UPI - Sent
2025-12-09,UPI/CR/2679746/Amit/Payment,929319141080,0.0,712.02,76230.23,UPI - Received
2025-12-10,UPI/DR/3771504/Rahul/Priya@icici,754474071330,2988.44,0.0,73241.79,UPI - Sent
2025-12-12,UPI/DR/3908538/Amit/Priya@icici,578001943304,491.31,0.0,72750.48,UPI - Sent
2025-12-13,UPI/CR/6933993/Rahul/Payment,268358041225,0.0,2182.61,74933.09,UPI - Received
2025-12-15,UPI/DR/9883352/Rohan/Neha@okhdfcbank,499127439409,2638.59,0.0,72294.5,UPI - Sent
2025-12-15,BIL/INB/ELECTRICITY UPPCL/687382,903526763113,1714.98,0.0,70579.52,Utilities
2025-12-15,POS/VISA/D MART,705362105548,1160.51,0.0,69419.01,Shopping / Groceries
2025-12-16,BIL/INB/ELECTRICITY UPPCL/442364,902107756371,2224.67,0.0,67194.34,Utilities
2025-12-18,POS/VISA/ZOMATO,596144210356,984.02,0.0,66210.32,Food & Dining
2025-12-18,UPI/DR/1773402/Rahul/Neha@okhdfcbank,351487177987,1773.55,0.0,64436.77,UPI - Sent
2025-12-18,UPI/DR/6936256/Amit/Kavita@okaxis,405964900141,2013.55,0.0,62423.22,UPI - Sent
2025-12-20,UPI/DR/5527908/Kavita/Rahul@icici,821970820395,1304.53,0.0,61118.69,UPI - Sent
2025-12-20,UPI/DR/3115213/Neha/Kavita@okaxis,977630621959,2587.78,0.0,58530.91,UPI - Sent
2025-12-21,UPI/DR/2097378/Rahul/Rahul@okhdfcbank,185569774204,1340.53,0.0,57190.38,UPI - Sent
2025-12-21,UPI/DR/1683004/Amit/Suresh@okhdfcbank,333995652670,2596.66,0.0,54593.72,UPI - Sent
2025-12-22,BIL/INB/ELECTRICITY UPPCL/713249,601588311245,1213.12,0.0,53380.6,Utilities
2025-12-23,UPI/DR/9206005/Anjali/Rahul@okhdfcbank,735906343638,2212.5,0.0,51168.1,UPI - Sent
2025-12-25,IMPS/DR/18808045/Amit/Transfer,274079861243,1796.31,0.0,49371.79,Bank Transfer - Credit
2025-12-25,UPI/DR/3730296/Rahul/Priya@paytm,361399523052,1223.25,0.0,48148.54,UPI - Sent
2025-12-26,UPI/DR/2434338/Rohan/Kavita@ybl,446673404045,731.28,0.0,47417.26,UPI - Sent
2025-12-26,UPI/CR/6887251/Neha/Payment,722763619778,0.0,4982.43,52399.69,UPI - Received
2025-12-27,BIL/INB/ELECTRICITY UPPCL/410824,176797726849,2698.18,0.0,49701.51,Utilities
2025-12-28,NEFT/CR/HDFC946305/FUNDS TRANSFER,433734162755,0.0,17233.56,66935.07,Bank Transfer - Credit
2025-12-28,NEFT/TECH MAHINDRA/SALARY CREDIT,214518382535,0.0,87251.85,154186.92,Salary / Income
2025-12-28,UPI/DR/4104073/Neha/Anjali@okaxis,916503502249,1668.61,0.0,152518.31,UPI - Sent
2025-12-30,UPI/CR/1484329/Rahul/Payment,159468562624,0.0,915.34,153433.65,UPI - Received
2025-12-31,POS/VISA/D MART,277218748445,3464.92,0.0,149968.73,Shopping / Groceries
2026-01-01,UPI/DR/1409979/Anjali/Amit@paytm,859707157168,2713.71,0.0,147255.02,UPI - Sent
2026-01-01,UPI/DR/8482265/Neha/Priya@ybl,146646362417,2698.8,0.0,144556.22,UPI - Sent
2026-01-03,POS/VISA/JIO RECHARGE,992493718889,1208.21,0.0,143348.01,Mobile & Recharge
2026-01-03,POS/VISA/ZOMATO,960420184902,4223.26,0.0,139124.75,Food & Dining
2026-01-04,ATM/CASH WDL/SBI ATM 8711,517076094887,500.0,0.0,138624.75,Cash Withdrawal
2026-01-04,NEFT/TECH MAHINDRA/SALARY CREDIT,484229076692,0.0,58733.59,197358.34,Salary / Income
2026-01-04,UPI/DR/1767268/Rohan/Anjali@icici,538916150327,998.22,0.0,196360.12,UPI - Sent
2026-01-06,BIL/INB/ELECTRICITY UPPCL/387635,463080281895,2848.09,0.0,193512.03,Utilities
2026-01-06,BIL/INB/ELECTRICITY UPPCL/479823,139794875013,771.01,0.0,192741.02,Utilities
