date,desc,ref,debit,credit,balance,flagged,category
2025-01-02,MYNTRA DESIGNS,97968845,0.0,0.0,118900.0,False,Uncategorized
2025-01-03,AMAZON RETAIL,08254780,18637.34,0.0,100262.66,False,Shopping / Groceries
2025-01-04,PVR CINEMAS,53686632,26925.62,0.0,73337.04,False,Uncategorized
2025-01-04,PHONEPE MERCHANT,94484631,10894.35,0.0,62442.69,False,Uncategorized
2025-01-06,STAR HEALTH INSURANCE,35020802,20456.61,0.0,41986.08,False,Uncategorized
2025-01-08,RAHUL AGARWAL,35647570,517.95,0.0,41468.13,False,Uncategorized
2025-01-09,IRCTC RAIL TICKET,46013673,3351.6,0.0,38116.53,False,Uncategorized
2025-01-10,JIO RECHARGE,52088147,9498.85,0.0,28617.68,False,Mobile & Recharge
2025-01-12,NETFLIX ENTERTAINMENT,02491630,0.0,5214.84,33832.52,False,Uncategorized
2025-01-12,SWIGGY BANGALORE,95005281,4163.17,0.0,29669.35,False,Food & Dining
2025-01-13,IRCTC RAIL TICKET,06524077,7458.32,0.0,22211.03,False,Uncategorized
2025-01-13,GROWW MUTUAL FUND,98218274,2907.87,0.0,19303.16,False,Uncategorized
2025-01-13,NYKAA ECOMM,59351863,4505.64,0.0,14797.52,False,Uncategorized
2025-01-14,SWATI GUPTA,02203173,1931.17,0.0,12866.35,False,Uncategorized
2025-01-16,NEHA CHOUDHARY,10371705,2542.07,0.0,10324.28,False,Uncategorized
2025-01-17,POOJA GUPTA,38113863,0.0,1973.29,12297.57,False,Uncategorized
2025-01-19,DECATHLON SPORTS,95761228,2330.82,0.0,9966.75,False,Uncategorized
2025-01-20,NETFLIX ENTERTAINMENT,56659398,1376.22,0.0,8590.53,False,Uncategorized
2025-01-21,JIO RECHARGE,90824043,1282.33,0.0,7308.2,False,Mobile & Recharge
2025-01-22,MANOJ CHOPRA,22459334,1409.77,0.0,5898.43,False,Uncategorized
2025-01-23,RELIANCE FRESH,79194096,1361.92,0.0,4536.51,False,Uncategorized
2025-01-24,PETROL PUMP HP,90604805,1213.27,0.0,3323.24,False,Uncategorized
2025-01-25,APOLLO PHARMACY,99813646,725.82,0.0,2597.42,False,Uncategorized
2025-01-26,SWIGGY BANGALORE,68622783,2361.6,0.0,235.82,False,Food & Dining
2025-01-27,VIVEK KAPOOR,59116655,26.31,0.0,209.51,False,Uncategorized
2025-01-29,NYKAA ECOMM,79270335,0.0,13821.13,14030.64,False,Uncategorized
2025-01-29,AMAZON RETAIL,51477053,3748.82,0.0,10281.82,False,Shopping / Groceries
2025-01-30,CAFE COFFEE DAY,06980420,2115.59,0.0,8166.23,False,Uncategorized
